Done,InfoId,SpeakerId,SpeakerName,Race,Gender,Faction,Rank,Type,PCRank,Dialogue
,id_9766301701128124175,aenar,Aenar,Nord,Male,,,Topic,,"Very well. I shall start work on it. Come back tomorrow, and it will be ready."
,id_197176759725119863,aenar,Aenar,Nord,Male,,,Topic,,"Very well. I shall start work on it. Come back tomorrow, and it will be ready."
,id_190728251872114004,aenar,Aenar,Nord,Male,,,Topic,,"Very well. I shall start work on it. Come back tomorrow, and it will be ready."
,id_28365309482984410732,aenar,Aenar,Nord,Male,,,Topic,,"Very well. I shall start work on it. Come back tomorrow, and it will be ready."
,id_26212170721798626081,aenar,Aenar,Nord,Male,,,Topic,,"Very well. I shall start work on it. Come back tomorrow, and it will be ready."
,id_312191161952730475,aenar,Aenar,Nord,Male,,,Topic,,"Very well. I shall start work on it. Come back tomorrow, and it will be ready."
,id_149532551306801861,aenar,Aenar,Nord,Male,,,Topic,,"Very well. I shall start work on them. Come back tomorrow, and they will be ready."
,id_1672416695910922086,aenar,Aenar,Nord,Male,,,Topic,,"Very well. I shall start work on them. Come back tomorrow, and they will be ready."
,id_29859244853096711707,andrelheim,Andrelheim,Nord,Male,,,Greeting,,"*Burp!* Arrgghh! Welcome to Thirshk! The mead is a shpecial blend, imported all the way from... *Burp!* Shkyrim! Drink up!"
,id_20486297913023010416,botrir,Botrir,Nord,Male,,,Greeting,,"Hail, stranger! Have you seen a witch nearby? I'll tear out her heart and feed it to a nix-hound!"
,id_3348229951561827322,Briring,Briring,Nord,Male,Imperial Legion,Trooper,Topic,,"The alit is a tailless two-legged predator common to the grasslands and ash wastes of Vvardenfell. Built like its larger and more dangerous cousin, the kagouti, the alit has a large head and protruding jaw, and when running on its short, stumpy legs, it looks like a big toothy mouth with feet."
,id_643424876851511231,Briring,Briring,Nord,Male,Imperial Legion,Trooper,Topic,,"The betty netch is a large hovering beast, supported by internal sacs of magical vapors. The betty netch, the female of the species, is smaller than the male bull netch, but fiercely territorial. Cured netch skin, durable, flexible, and variously colored, is used throughout the Empire in garments, armor, weapons, household goods, and furnishings."
,id_1144111781886732050,Briring,Briring,Nord,Male,Imperial Legion,Trooper,Topic,,"The bull netch is a huge beast that hovers in the air, supported by internal sacs of magical vapors. Cured netch skin, durable, flexible, and variously colored, is used throughout the Empire in garments, armor, weapons, household goods, and furnishings."
,id_100420012589013251,Briring,Briring,Nord,Male,Imperial Legion,Trooper,Topic,,"The following creatures are susceptible to blight diseases: kwama queen, kwama forager, kwama warrior, kwama worker, scrib, cliff racer, alit, shalk, kagouti, nix-hound, and rat. Since blight disease is contracted by contact, after an encounter with these creatures, make sure you haven't gotten a blight disease."
,id_44328287649210362,Briring,Briring,Nord,Male,Imperial Legion,Trooper,Topic,,"The following creatures are susceptible to common diseases: scrib, kwama worker, cliff racer, alit, shalk, kagouti, and rat. Since disease is contracted by contact, after an encounter with these creatures, make sure you haven't gotten a disease."
,id_16445179822972022294,Briring,Briring,Nord,Male,Imperial Legion,Trooper,Topic,,"The slaughterfish is an aggressive creature found both in open waters and subterranean pools. The meat of the slaughterfish is mealy and noisome, but dried slaughterfish scales are said by locals to be 'a crunchy treat' when prepared in the native manner"
,id_19444126321447125865,Briring,Briring,Nord,Male,Imperial Legion,Trooper,Topic,,"The two most common herd animals of the Ashlanders are the guar and the shalk. The guar is a large biped, trained as a beast of burden, and raised for meat and hides. Wild guars are encountered in the wilderness; they're usually quite peaceful. The shalk is a large, unaggressive beetle, raised for meat and resin from its shells."
,id_3843120242447521497,Briring,Briring,Nord,Male,Imperial Legion,Trooper,Topic,,"Two smaller but dangerous predators of Vvardenfell are the nix-hound and the rat. Rats are found everywhere, often in close proximities to their slightly larger relatives, the cave rat and the rust rat. The nix-hound is a rangy quadruped with long, purple feeding spikes. Its cousin, the rogue nix-hound, is larger and much more dangerous."
,id_2804023943275593227,brynjolfr,Brynjolfr,Nord,Male,,,Topic,,"The snow wolves are larger, more elusive cousins of Solstheim's common wolves. They have a thick coat that protects them from the frost and cold. You can find snow wolves in and around the Moesring Mountains. Legend has it they're the descendants of Ondjage, the Fell Wolf that devoured Hrothmund the Red. It is said their attacks have been known to freeze human flesh, so be careful if you encounter one!"
,id_130163195829191694,ennbjof,Ennbjof,Nord,Male,,,Topic,,"And of course they buried Stormkiss with him. Stormkiss was Olmgerd's enchanted battle-axe. And you see this old key? See what it says on it? 'Stormkiss'. Here. Take it. Healer says the mazte is killing me. I'm going home to Skyrim to die. You, you got your life ahead of you. Go ahead. Take it."
,id_31167212471997124948,Frald the White,Frald the White,Nord,Male,Imperial Legion,Knight Protector,Topic,,"I have no more orders for you. Check with the Knight Protectors of each of the Legion forts, and check with Varus Vantinius, the Knight of the Imperial Dragon here in Ebonheart."
,id_1690423295912415616,geilir the mumbling,Geilir the Mumbling,Nord,Male,,,Topic,,"With my family gone, I am all alone, except for Oddfrid White-Lip. She talks to me. She tells me the future. But she's been kidnapped by a draugr who lives in Kolbjorn! Will you go to the barrow and rescue Oddfrid White-Lip? If you do, then Oddfrid will help me reveal your future! And, as a show of good faith, I'll also reverse Thormoor's curse!"
,id_4801226782722811515,ulfgar_ghost,Ghost of Ulfgar the Unending,Nord,Male,,,Greeting,,"You did it! By helping me die valiantly you showed my soul the way to Sovngarde! My friends -- Hunroor, Erlendr, and Nikulas -- have been waiting for me. I told them of your willingness to help me, and recounted our glorious battle! The four of us wish to give you a reward fitting of such a warrior. So, we give you a piece of ourselves. Lay your hands on a stone, and you will receive that warrior's greatest attribute! Now farewell, my friend! Sovngarde awaits!"
