Delf M,Delf F,Helf M,Helf F,Welf M,Welf F,Orc M,Orc F,Khj M,Khj F,Arg M,Arg F,Imp M,Imp F,Nrd M,Nrd F,Brt M,Brt F,Rdg M,Rdg F,InfoId,SpeakerId,SpeakerName,Race,Gender,Faction,Rank,Type,PCRank,GenRank,GenCell,GenClass,GenFaction,Dialogue
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_183431552857266986,,,,,,,Persuasion,,Argonian,,,Fighters Guild,Forgive me. I can only serve members of the %Faction.
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_1440231849650519118,,,,,,,Persuasion,,Argonian,,,Fighters Guild,"I am sorry, %PCName. My special services are a privilege of higher rank."
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_32525156863121714899,,,,,,,Persuasion,,Argonian,,,Hlaalu,Forgive me. I can only serve members of the %Faction.
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_229137642813616744,,,,,,,Persuasion,,Argonian,,,Hlaalu,"I am sorry, %PCName. My special services are a privilege of higher rank."
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_316114847792424996,,,,,,,Persuasion,,Argonian,,,Imperial Cult,Forgive me. I can only serve members of the %Faction.
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_1357521845422117485,,,,,,,Persuasion,,Argonian,,,Imperial Cult,"I am sorry, %PCName. My special services are a privilege of higher rank."
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_261839246391615454,,,,,,,Persuasion,,Argonian,,,Imperial Legion,Forgive me. I can only serve members of the %Faction.
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_2496070411287512130,,,,,,,Persuasion,,Argonian,,,Imperial Legion,"I am sorry, %PCName. My special services are a privilege of higher rank."
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_66501879951368132,,,,,,,Persuasion,,Argonian,,,Mages Guild,Forgive me. I can only serve members of the %Faction.
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_232078936717898,,,,,,,Persuasion,,Argonian,,,Mages Guild,"I am sorry, %PCName. My special services are a privilege of higher rank."
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_2928598872632726697,,,,,,,Persuasion,,Argonian,,,Morag Tong,Forgive me. I can only serve members of the %Faction.
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_46239530102619813,,,,,,,Persuasion,,Argonian,,,Morag Tong,"I am sorry, %PCName. My special services are a privilege of higher rank."
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_28484325062516730056,,,,,,,Persuasion,,Argonian,,,Redoran,Forgive me. I can only serve members of the %Faction.
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_261358395208657286,,,,,,,Persuasion,,Argonian,,,Redoran,"I am sorry, %PCName. My special services are a privilege of higher rank."
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_328622121196587191,,,,,,,Persuasion,,Argonian,,,Telvanni,Forgive me. I can only serve members of the %Faction.
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_856030601888016555,,,,,,,Persuasion,,Argonian,,,Telvanni,"I am sorry, %PCName. My special services are a privilege of higher rank."
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,id_3504322310185514,,,,,,,Persuasion,,Argonian,,,Temple,Forgive me. I can only serve members of the %Faction.
