ActorId,Name,Race,Gender,Faction
also_he_washes,Also-He-Washes,Argonian,Male,
basks_in_the_sun,Basks-In-The-Sun,Argonian,Male,
BM_werewolf_maze1,Hound of Hircine,Argonian,Male,
BM_werewolf_skaal1A3,Werewolf,Argonian,Male,
BM_werewolf_skaal1B3,Werewolf,Argonian,Male,
BM_werewolf_skaal1C3,Werewolf,Argonian,Male,
BM_werewolf_skaal1D3,Werewolf,Argonian,Male,
BM_werewolf_skaal1E3,Werewolf,Argonian,Male,
BM_werewolf_skaal1F3,Werewolf,Argonian,Male,
BM_werewolf_skaal1G3,Werewolf,Argonian,Male,
BM_werewolf_skaal2a,Werewolf,Argonian,Male,
BM_werewolf_wildhunt,Werewolf,Argonian,Male,
BM_werewolf_wildhunt2,Werewolf,Argonian,Male,
BM_werewolf_wildhunt3,Werewolf,Argonian,Male,
BM_werewolf_wildhunt4,Werewolf,Argonian,Male,
keerasa_tan,Keerasa-Tan,Argonian,Male,
snail_tail,Snail-Tail,Argonian,Female,
swims-in-swells,Swims-In-Swells,Argonian,Male,
werewolf_bearhunt,Werewolf,Argonian,Male,
werewolf_ceremony,Werewolf,Argonian,Male,
wind_in_his_hair,Wind-In-His-Hair,Argonian,Male,
ah-meesei,Ah-Meesei,Argonian,Female,
ahaht,Ahaht,Argonian,Female,
akish,Akish,Argonian,Female,
am-ra,Am-Ra,Argonian,Female,
an-zaw,An-Zaw,Argonian,Male,Mages Guild
An_Deesei,An-Deesei,Argonian,Female,Twin Lamps
argonian slave female,Ereel-Lei,Argonian,Female,
argonian slave male,Milos,Argonian,Male,
asum,Asum,Argonian,Male,
Banalz,Banalz,Argonian,Female,
beekatan,Beekatan,Argonian,Female,
big head,Big Head,Argonian,Male,
breech-star,Breech-Star,Argonian,Female,
bun-teemeeta,Bun-Teemeeta,Argonian,Male,
bunish,Bunish,Argonian,Male,
busheeus,Busheeus,Argonian,Male,
cattle_arg_f01,Cattle,Argonian,Female,Clan Quarra
cattle_arg_f02,Cattle,Argonian,Female,Clan Quarra
cattle_arg_m01,Cattle,Argonian,Male,Clan Quarra
chalureel,Chalureel,Argonian,Male,
Chanil_Lee,Chanil-Lee,Argonian,Female,Mages Guild
cheesh-meeus,Cheesh-Meeus,Argonian,Female,
chiwish,Chiwish,Argonian,Male,
chulz,Chulz,Argonian,Male,
chuna,Chuna,Argonian,Male,
