Delf M,Delf F,Helf M,Helf F,Welf M,Welf F,Orc M,Orc F,Khj M,Khj F,Arg M,Arg F,Imp M,Imp F,Nrd M,Nrd F,Brt M,Brt F,Rdg M,Rdg F,InfoId,SpeakerId,SpeakerName,Race,Gender,Faction,Rank,Type,PCRank,Dialogue
,,,,,,,,,,,,,,,,,,,,id_31268150052410929562,,,,,,,Topic,,"Imperial taxes are based on head counts of citizens; Census and Excise is responsible both for head counts and tax assessment and collection. Census and Excise officers also administer many Imperial licenses -- importation, mercenary company incorporation, for example."
,,,,,,,,,,,,,,,,,,,,id_14173191683162810366,,,,,,,Topic,,"We heard. He was a good man, and his murder should be avenged."
,,,,,,,,,,,,,,,,,,,,id_2182878901212026068,,,,,,,Topic,,"Someone finally got him, huh? Well, it's no surprise, I suppose. No one likes a tax collector, especially one who flaunts his wealth while taking our hard-earned cash. Only one who could stomach him at all was Thavere over in the lighthouse. The two of them spent some time together. Shame, really. She seemed like a nice woman."
,,,,,,,,,,,,,,,,,,,,id_1181614601662221205,,,,,,,Topic,,"Found his body, huh? Well, it's up to you what to do with that information. I suppose that Socucius Ergalla in the Census and Excise Office would be the one to tell, if that's your inclination."
,,,,,,,,,,,,,,,,,,,,id_5963217283255811314,,,,,,,Topic,,"Ashlander nomadic camps have portable huts of hides stretched on chitin frames. These huts can be quickly dismantled and packed atop a guar when moving to new grazing and hunting grounds. The khan's hut is simply a larger, more elaborate version of a family hut."
,,,,,,,,,,,,,,,,,,,,id_22903198153257011313,,,,,,,Topic,,"Ashlander nomadic camps have portable huts of hides stretched on chitin frames. These huts can be quickly dismantled and packed atop a guar when moving to new grazing and hunting grounds. The khan's hut is simply a larger, more elaborate version of a family hut."
,,,,,,,,,,,,,,,,,,,,id_295522156660626532,,,,,,,Topic,,"No. We have not done this thing. The ones you are looking for are Emul-Ran and Kashtes Ilabael. They are outcasts, belonging to none of our tribes. You should be able to find them south of here, along the water's edge. May you bring them swift justice."
,,,,,,,,,,,,,,,,,,,,id_206742901524631549,,,,,,,Topic,,"None of our tribe would do this thing, unless we had been wronged by this trader. Perhaps you should check with one of the other tribes. Good luck to you."
,,,,,,,,,,,,,,,,,,,,id_2819517503272429727,,,,,,,Topic,,"We've been lucky. We really pushed the Duke and the other Houses when we grabbed Tel Vos. And when he didn't put up  much of a fight to protect the settlement charters, we sent out our losers and lunatics to stake new claims. Some will survive, some won't. But Hlaalu and Redoran have to respond. And in the end, the ones that survive give us more power and influence here on Vvardenfell."
,,,,,,,,,,,,,,,,,,,,id_26330323981406010331,,,,,,,Topic,,"As is obvious, we are stronger, faster, more focused than normal creatures. You will find your body lacks the frailties of the normal man or mer. Disease is nothing, and those who would seek to paralyze you will always fail. We float through the night air with ease, always watching. And, of course, we can drain the warmblooded ones with but a touch, restoring our own life force."
,,,,,,,,,,,,,,,,,,,,id_26484147831051825806,,,,,,,Topic,,"As is obvious, we are stronger, faster, more focused than normal creatures. You will find your body lacks the frailties of the normal man or mer. Disease is nothing, and those who would seek to paralyze you will always fail. We float through the night air with ease, always watching. And, of course, we can drain the warmblooded ones with but a touch, restoring our own life force."
,,,,,,,,,,,,,,,,,,,,id_14486249962841018305,,,,,,,Topic,,"As is obvious, we are stronger, faster, more focused than normal creatures. You will find your body lacks the frailties of the normal man or mer. Disease is nothing, and those who would seek to paralyze you will always fail. We float through the night air with ease, always watching. And, of course, we can drain the warmblooded ones with but a touch, restoring our own life force."
,,,,,,,,,,,,,,,,,,,,id_2716216651891729188,,,,,,,Topic,,"Redoran is not going to stand by and watch Telvanni setting up those bases without a charter. Ever since we let the Telvanni get away with Tel Vos, they've been sending out wizards and mercenaries to stake their claims on promising sites. And if we don't do something about it, those damn necromancers will end up on our doorsteps."
