"Done","Conflict","Source","InfoId","Race","Gender","SpeakerId","FactionId","FactionRank","DialogueText"
"False","False","Morrowind","_210881014910234529","Imperial","Male","a shady smuggler","","","Welcome, I am Shady Smuggler. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Imperial","Female","a smuggler boss","","","Welcome, I am Smuggler Boss. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Khajiit","Female","abanji","","","Welcome, I am Abanji. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","abassel asserbassalit","","","Welcome, I am Abassel Asserbassalit. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Breton","Female","abelle chriditte","","","Welcome, I am Abelle Chriditte. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","abibaal assillariran","","","Welcome, I am Abibaal Assillariran. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","abishpulu shand","","","Welcome, I am Abishpulu Shand. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Redguard","Male","achel","","","Welcome, I am Achel. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","adairan lalansour","","","Welcome, I am Adairan Lalansour. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","adaishah ahanidiran","","","Welcome, I am Adaishah Ahanidiran. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Khajiit","Female","adanja","","","Welcome, I am Adanja. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","adaves therayn","","","Welcome, I am Adaves Therayn. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","addarnat assardidairan","","","Welcome, I am Addarnat Assardidairan. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Nord","Male","adding","","","Welcome, I am Adding. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Khajiit","Female","adharanji","","","Welcome, I am Adharanji. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","adibael hainnabibi","","","Welcome, I am Adibael Hainnabibi. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","Adil Norvayn","","","Welcome, I am Adil Norvayn. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Breton","Female","aditte oges","","","Welcome, I am Aditte Oges. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","Adondasi Sadalvel","","","Welcome, I am Adondasi Sadalvel. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","Adosi Darano","","","Welcome, I am Adosi Darano. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Wood Elf","Female","aerin","","","Welcome, I am Aerin. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Nord","Female","aeta wave-breaker","","","Welcome, I am Aeta Wave-Breaker. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Khajiit","Female","affri","","","Welcome, I am Affri. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Wood Elf","Male","agarond","","","Welcome, I am Agarond. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Nord","Male","Agning","","","Welcome, I am Agning. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Imperial","Female","agrippina herennia","","","Welcome, I am Agrippina Herennia. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Orc","Female","agrob gra-bogharz","","","Welcome, I am Agrob gra-Bogharz. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Wood Elf","Male","agronian guy","","","Welcome, I am Tarhiel. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Argonian","Female","ah-meesei","","","Welcome, I am Ah-Meesei. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Argonian","Female","ahaht","","","Welcome, I am Ahaht. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Female","ahanabi assullinbanud","","","Welcome, I am Ahanabi Assullinbanud. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Khajiit","Female","ahdahni","","","Welcome, I am Ahdahni. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Khajiit","Female","ahdni","","","Welcome, I am Ahdni. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Khajiit","Female","ahdri","","","Welcome, I am Ahdri. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Imperial","Female","Ahetotis Furotis","","","Welcome, I am Ahetotis Furotis. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Khajiit","Female","ahjara","","","Welcome, I am Ahjara. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Khajiit","Female","ahnarra","","","Welcome, I am Ahnarra. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Khajiit","Female","ahndahra","","","Welcome, I am Ahndahra. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Khajiit","Female","ahnisa","","","Welcome, I am Ahnisa. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Khajiit","Female","Ahzini","","","Welcome, I am Ahzini. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Khajiit","Female","aina","","","Welcome, I am Aina. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","ainab yassabisun","","","Welcome, I am Ainab Yassabisun. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","ainat maessabibi","","","Welcome, I am Ainat Maessabibi. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Argonian","Female","akish","","","Welcome, I am Akish. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Male","alanil llaram","","","Welcome, I am Alanil Llaram. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Female","alarvyne indalas","","","Welcome, I am Alarvyne Indalas. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Female","Alavesa Samori","","","Welcome, I am Alavesa Samori. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Imperial","Male","albecius colollius","","","Welcome, I am Albecius Colollius. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Nord","Female","aldi","","","Welcome, I am Aldi. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Female","aldyne arenim","","","Welcome, I am Aldyne Arenim. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Female","aleri duro","","","Welcome, I am Aleri Duro. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Breton","Female","ales julalanie","","","Welcome, I am Ales Julalanie. What can I do for you %PCRank?"
"False","False","Morrowind","_210881014910234529","Dark Elf","Female","alfe fyr","","","Welcome, I am Alfe Fyr. What can I do for you %PCRank?"
