,InfoId,SpeakerId,SpeakerName,Race,Gender,Faction,Rank,Type,PCRank,Dialogue,,
1,id_14588323642315424135,An_Deesei,An-Deesei,Argonian,Female,Twin Lamps,Abolitionist,Topic,,"Monks dedicated to the ascetic philosophies of Elsweyr have long cultivated the unarmored martial arts traditions called the 'Rain-of-Sand' fighting styles. The Mages Guild and other societies have had some success adapting these styles for self-defense training of wizards and other armor-averse vocations. Students of the unarmored styles wear little or no armor, and count on evasion and deflection to avoid injury.",,
1,id_15942145602393520137,An_Deesei,An-Deesei,Argonian,Female,Twin Lamps,Abolitionist,Topic,,"The unarmed, unarmored martial arts traditions of the Marshmerrow, Salt Rice, and Golden Reed societies of the Dissident Priest, patterned on the 'Rain-of-Sand' fighting styles of Elsweyr, are slow to be adopted in the Empire, associated as they are with the ascetic renunciation of worldly wealth and material goods, and the rigid disciplines and mystical philosophies so alien to the Imperial West.",,
1,id_2979016893932230425,Chanil_Lee,Chanil-Lee,Argonian,Female,Mages Guild,Journeyman,Topic,,"One hears whispers in Ebonheart of the Lord's Mail -- that it has disappeared. The best armor in all of Tamriel, it is.",,
1,id_2190811908785615033,keel_raniur,Keel-Raniur,Argonian,Female,,,Topic,,"...so Throknolf the Craven, who is strong and tough, but not the brightest star in the sky, wanders into Shenk's Shovel and drinks enough to choke a guar. Then he tells everyone about the loads of loot stashed in their cave, and how the guards will never find it. And then he stumbles out of Shenk's Shovel and wanders west of town, not paying any attention to me following along behind, and after a while he ducks into this cave. Poor fellow. He will never learn.",,
1,id_31445279161952114063,Okur,Okur,Argonian,Female,,,Topic,,I will return it to her husband as soon as possible.,,
1,id_750917772230488735,Okur,Okur,Argonian,Female,,,Greeting,,"I will return Julielle Aumine's amulet to her husband as she requested. Then I shall wait for her spirit to visit me again. At that time, I am confident that I can lay the ghost of Julielle Aumine to rest. So thank you again, for all you've done.",,
1,id_25484240821277718665,Okur,Okur,Argonian,Female,,,Topic,,"It is nothing but a common amulet, worth little. But it bears an inscription that shows it belongs to Julielle Aumine. She says that the smugglers burned her body and scattered the ashes. Perhaps that is why her spirit is so restless, and why her amulet is so important to her.",,
1,id_25667114721468512458,Okur,Okur,Argonian,Female,,,Greeting,,"Thank you for coming. I have been visited by the spirit of Julielle Aumine. She says she chanced upon a band of smugglers, and was murdered to seal her lips. She says that her spirit will not rest until her amulet is recovered and returned to her husband, and until the four smugglers who murdered her are slain. When I have Julielle's amulet and you have the lives of her murderers, I shall see that her spirit is laid to rest.",,
1,id_218815622763318246,Okur,Okur,Argonian,Female,,,Topic,,"The four murderers' names are Dudley, Larisus Dergius, Ralos Othrenim, and Thervam Drelas. I have the sense that they are strong and well-armed. Julielle's spirit says that their smugglers cave is called 'Yasamsi', and it lies south along the road from town, before the bridge across the Odai River.",,
1,id_1234925010306214639,Okur,Okur,Argonian,Female,,,Topic,,They got what they deserved. I have no sympathy for them.,,
1,id_31004203303166454,Okur,Okur,Argonian,Female,,,Greeting,,"When you have killed the four smugglers who murdered Julielle Aumine, and found her stolen amulet, bring me the amulet, and I shall see that her spirit is laid to rest.",,
