Delf M,Delf F,Helf M,Helf F,Welf M,Welf F,Orc M,Orc F,Khj M,Khj F,Arg M,Arg F,Imp M,Imp F,Nrd M,Nrd F,Brt M,Brt F,Rdg M,Rdg F,InfoId,SpeakerId,SpeakerName,Race,Gender,Faction,Rank,Type,PCRank,GenRank,GenCell,GenClass,GenFaction,Dialogue
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,id_14367256971364129203,,,,,,,Greeting,,Breton,"Vivec, Telvanni Tower",,,"You're from the Morag Tong, aren't you? Mavon Drenim is upstairs, but he's been expecting you. Don't tell him I warned you."
,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,id_403987882384511062,,,,,,,Topic,,Dark Elf,Ald-ruhn,,,"Skar is the shell of the Emperor crab, outlander. The homes and shops of the Manor District inside are 'under Skar'."
,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,id_18674239372517031452,,,,,,,Topic,,Dark Elf,Balmora,,,"An outlander is anyone born and raised outside of Morrowind. Most Dunmer think anyone who isn't a native-born Dunmer is an outlander. Dunmer with Western words and ways are also immediately identified as outlanders -- we're very sensitive to accents, clothes, and manners in Morrowind. Outlanders are foreigners, and Morrowind doesn't like foreigners. It's not bad here in Hlaalu territory, but on the rest of Vvardenfell, folk are very cool to outlanders. Be patient, and pleasant, you'll do all right."
,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,id_576932167290605878,,,,,,,Topic,,Dark Elf,Balmora,,,The ebony mine? It was abandoned long ago and its location has been lost. Allegedly one of the miners summoned a Daedra... But perhaps you should speak with Nileno Dorvayn at the Hlaalu Council Manor.
,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,id_2172160452916926446,,,,,,,Topic,,Dark Elf,Caldera,,,The thefts began not too long ago. Talk to Irgola and Elmussa Damori. They both moved here recently.
,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,id_2943726195119031697,,,,,,,Topic,,Dark Elf,Maar Gan,,,"The ash storm caught a lot of people by surprise. When a storm hits like that, you take shelter in whatever's nearby."
,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,id_2575182967808655,,,,,,,Topic,,Dark Elf,"Vivec, Telvanni",,,"I must tell you, all this self-righteous Western clamor against slavery is really tiresome. Our right to own slaves is protected by law -- IMPERIAL law. People who free slaves are breaking the law. It's as simple as that."
,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,id_29795176531888832742,,,,,,,Topic,,Dark Elf,,Commoner,,"The Dunmer hate necromancy and the undead, and hate blood vampires in particular. Blood vampires are powerful undead creatures that feed on humanoid blood. The vampire curse is contracted from disease-contaminated blood; victims of vampire attacks sometimes become vampires. There is no known cure for vampirism but the destruction of the vampire. Ash vampires are not blood vampires; though both are powerful immortal undead, ash vampires do not feed on blood, and have no connection with blood vampires."
,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,id_3254821166219504134,,,,,,,Topic,,Dark Elf,,Noble,,"The Imperials are clever, industrious thieves and con men. Their legions are invincible, but individually they are weak and cowardly. Their civilization is a shabby imitation of High Elven culture, cheapened by the common greed and grasping nature of their merchants and monopolists. They have subjugated and enslaved the various peoples of Tamriel, and called this coerced submission 'peace'."
,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,id_9496591091148345,,,,,,,Topic,,Dark Elf,,Pauper,,"The Dunmer hate necromancy and the undead, and hate blood vampires in particular. Blood vampires are powerful undead creatures that feed on humanoid blood. The vampire curse is contracted from disease-contaminated blood; victims of vampire attacks sometimes become vampires. There is no known cure for vampirism but the destruction of the vampire. Ash vampires are not blood vampires; though both are powerful immortal undead, ash vampires do not feed on blood, and have no connection with blood vampires."
,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,id_319989461179123701,,,,,,,Topic,,Dark Elf,,Savant,,"Perhaps I can help you with the Oracle's riddle. Nammu, or 'no-name', is a cavern in the wildlands of Sunna Guradan. Its east-facing entrance is west-north-west from the Daedric ruin Yansirramus. At the heart of the cavern is a great high chamber, flooded, with a central spire rising from the water. The water around the bottom of the spire might be the ring of water in darkness from the Oracle's vision."
,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,id_171812307104124617,,,,,,,Topic,,Dark Elf,,Savant,,"The Bal Molagmer, or 'Stone Fire Men', once carried their burning stones from Red Mountain over all of Morrowind, lighting hearth fires and lanterns. Are those Bal Molagmer gloves? Those are priceless historical treasures."
