Done,InfoId,SpeakerId,SpeakerName,Race,Gender,Faction,Rank,Type,PCRank,Dialogue
,id_15942145602393520137,An_Deesei,An-Deesei,Argonian,Female,Twin Lamps,Abolitionist,Topic,,"The unarmed, unarmored martial arts traditions of the Marshmerrow, Salt Rice, and Golden Reed societies of the Dissident Priests, patterned on the 'Rain-of-Sand' fighting styles of Elsweyr, are slow to be adopted in the Empire, associated as they are with the ascetic renunciation of worldly wealth and material goods, and the rigid disciplines and mystical philosophies so alien to the Imperial West."
1,id_574964682444529983,eleedal_lei,Eleedal-Lei,Argonian,Male,,,Topic,,Have you found the key? Will you let me go free?
,id_2764738682809023966,hides_his_foot,Hides-His-Foot,Argonian,Male,,,Topic,,"I delivered a message to his assassins, Ranes and Navil Ienith. The message was a plot to kill his brother, Duke Vedam Dren. This message is in the basement of Dren's Villa, behind two locked and trapped doors, in a small chest on a bookshelf. If you ever need to influence Orvas Dren, this book would be ideal."
,id_812889902870914474,huleeya,Huleeya,Argonian,Male,Morag Tong,Thrall,Topic,,"I am only a low-ranking member. But pauper and commoner do not suffer from war here as they do in the West, thanks to the honored traditions of House War and the Morag Tong. I am an Argonian, yet they treat me with respect. If you are curious, find a copy of 'The Black Glove'. But please... do not mistake us for the Dark Brotherhood! The Dark Brotherhood is a perversion of ancient Dunmer traditions. They have sold their honor for profit, and are no more than a league of murderers-for-hire."
,id_877293542484232453,huleeya,Huleeya,Argonian,Male,Morag Tong,Thrall,Topic,,"The Temple treats the Nerevarine prophecies as heresy, and the Temple imprisons and executes heretics, unless prevented by Imperial law. But, since the Nerevarine cult is hostile to the Empire, the Empire does not interfere when the Temple persecutes the cult. Ashlanders hate the Temple, and particularly the Ordinators, for their ruthless treatment of Nerevarine cultists."
,id_2010323127278002946,huleeya,Huleeya,Argonian,Male,Morag Tong,Thrall,Topic,,"Will you travel together with me to Jobasha's Rare Books? We leave through the door to the Foreign Quarter Waistworks, turn right, west, continue down the hall and across the atrium on the same level, then follow the opposite corridor west on the other side of the atrium all the way to Jobasha's door."
,id_178631673225958934,huleeya,Huleeya,Argonian,Male,Morag Tong,Thrall,Topic,,"Will you travel together with me to Jobasha's Rare Books? We leave through the door to the Foreign Quarter Waistworks, turn right, west, continue down the hall and across the atrium on the same level, then follow the opposite corridor west on the other side of the atrium all the way to Jobasha's door. I must warn you: unless these troublesome fools are persuaded to behave like civilized beings, there may be fighting and killing if we try to travel together."
,id_206684523190984478,Im_Kilaya,Im-Kilaya,Argonian,Male,Twin Lamps,Abolitionist,Topic,,Are you going to bring her here? She would be safe.
,id_108169654132513017,Im_Kilaya,Im-Kilaya,Argonian,Male,Twin Lamps,Abolitionist,Topic,,Are you going to bring her here? She would be safe.
,id_1734227218211531010,miun_gei,Miun-Gei,Argonian,Male,,,Topic,,"You think you can? I would like that. Make him go away, and I will have rewards for you!"
,id_21368251661447918574,nine_toes,Nine-Toes,Argonian,Male,Blades,Journeyman,Topic,,"I'm trying to update our maps of the Bitter Coast. There are no good maps of this area. Period. Islands, mountains, swamps, lakes, rivers. It's impossible. I'm getting to know the swamps and waterways here, maybe as well as the natives. But I can't blend with the natives, and I'm useless in the West Gash or the Ashlands. And I don't see why the maps are so important. Smuggling, maybe. But I'm wondering if they're thinking about landing and moving the Legions through here. In case of trouble."
,id_2926087012766425756,onlyhestandsthere,Only-He-Stands-There,Argonian,Male,,,Topic,,"Please reconsider, %PCName. I believe I am offering a vital service to these people. But perhaps you can still convince me."
,id_12688252452795913279,onlyhestandsthere,Only-He-Stands-There,Argonian,Male,,,Topic,,"Tsiya has a little bit of a 'sweet tooth', if you know what I mean. I heard her connection hasn't arrived yet, though, and she's been acting a bit jumpy."
,id_843215059274174023,rasha,Rasha,Argonian,Male,,,Topic,,"Yes. Most pressing. I have, you see, a shipment of clothing...fine clothing, it is...to get to Ald'ruhn. But, I fear other business draws me away. Perhaps, I think, you and I might come to an arrangement, yes? If you will deliver Rasha's shirts...these fine, fine shirts...to Bivale Teneran the clothier in Ald'ruhn, she will pay you for your services. And a generous woman she is. I would ask that you swear an oath to Zenithar to seal our arrangement, though. Yes. What do you think of my offer, hmmmm?"
,id_1360912725265552437,skinkintreesshade,Skink-in-Tree's-Shade,Argonian,Male,Mages Guild,Master Wizard,Topic,,"There are two books in this series. The first is common in Morrowind. Most booksellers have a copy. The second volume is rare. If you can find a copy of volume two, I would be grateful. You might try a rare bookseller."
1,id_2249571910211608,vistha_kai,Vistha-Kai,Argonian,Male,,,Topic,,"Do not harm the inmates. I will not tolerate you adding to their suffering. Indeed, they are brutal and ferocious, and they will kill you if they can. But you are their guest, and you may not harm them, or you will answer to me."
1,id_157421637923310026,vistha_kai,Vistha-Kai,Argonian,Male,,,Topic,,"For his own amusement, Divayth Fyr permits thieves to test their skills by attempting to steal the treasures he keeps below in the Corprusarium. The dangers are fearful. The inmates are savage, and they carry the most terrible disease on Tamriel. The treasures themselves are guarded by traps and terrors. And the guards, myself chief among them, will take great delight in trying to kill you. Those are the rules. Abide by them, or leave."
,id_1569591412834830282,ales julalanie,Ales Julalanie,Breton,Female,,,Topic,,"Dwemer -- literally, 'the Deep, or Deep-Counseled or Secretive People' -- are the fabled lost Dwarven race whose ruins and splendid artifacts are scattered across Tamriel. Elves use the term 'Dwemer', connoting variously 'deep-delving', 'profound', and 'close-counseled'; Imperial usage is 'Dwarven', derived in fable from the affectionate regard of the Giant races for their 'little' Dwemer friends."
,id_338511016186313421,ales julalanie,Ales Julalanie,Breton,Female,,,Topic,,"Speechcraft involves the allied arts of verbal communication, entertainment, and persuasion. A master of speechcraft understands the subtleties of language, and teases meaning out of obscure mysteries. An entertainer with speechcraft skill knows how to move his audience, how to reinforce a tale's moral, and how to make a tale come alive for the listener. A diplomat -- or fast-talking con man -- can sway the judgements and emotions of a listener to achieve his own ends."
,id_2230719904812319368,ales julalanie,Ales Julalanie,Breton,Female,,,Topic,,"The unarmed, unarmored martial arts traditions of the Marshmerrow, Salt Rice, and Golden Reed societies of the Dissident Priests, patterned on the 'Rain-of-Sand' fighting styles of Elsweyr, are slow to be adopted in the Empire, associated as they are with the ascetic renunciation of worldly wealth and material goods, and the rigid disciplines and mystical philosophies so alien to the Imperial West."
,id_1856324162712123337,edwinna elbert,Edwinna Elbert,Breton,Female,Mages Guild,Wizard,Topic,,"It is the sixth volume of Marobar Sul's 'Ancient Tales of the Dwemer'. Most of the 'Ancient Tales' are not truly Dwemer in origin, but this one may be an exception. It deals with some sort of golem or centurion. Would you be willing to 'borrow' this book for me?"
,id_15870261283074913716,edwinna elbert,Edwinna Elbert,Breton,Female,Mages Guild,Wizard,Topic,,"That is unfortunate. If he could summon a scamp with such little training, he had promise."
,id_112031566131150043856,edwinna elbert,Edwinna Elbert,Breton,Female,Mages Guild,Wizard,Greeting,,Why are you... Wait. Is that a copy of 'Secrets of Dwemer Animunculi'?!
,id_2473762911441110245,helviane desele,Helviane Desele,Breton,Female,,,Topic,,"I try and run a respectable business and the Camonna Tong keeps asking for this money 'for my safety'. What is it really for? To keep me safe from Orvas Dren's thugs, that's what it's for, and I'm not paying it."
,id_1092424644246115983,helviane desele,Helviane Desele,Breton,Female,,,Topic,,They stopped trying to get the money from me. I don't know why.
1,id_3246023492512728471,maurrie aurmine,Maurrie Aurmine,Breton,Female,,,Topic,,"You'll try? Thank you so! I'm sure you'll be able to find him. He mentioned something about having to head south, so I imagine he might be found in Pelagiad. Please, if you find him, give him this glove for me, as a token of my love. I'm certain he will want to find me again."
,id_506176412720812897,daric bielle,Daric Bielle,Breton,Male,,,Topic,,"Good fella, that one. Not worth a damn, but a good fella. Took me all over these parts, looking for that slave. Showed me this place, too, so he can't be all bad. He seems to like the tradehouse in town. I'm happier in this place. Another drink here!"
