Done,Conflict,Source,InfoId,Race,Gender,SpeakerId,FactionId,FactionRank,DialogueText
FALSE,FALSE,Patch for Purists,_2087221386833312649,Dark Elf,Female,Torasa Aram,,,"Worn by Tiber Septim; supposedly a gift to Talos Stormcrown from the Greybeards. Wondrous, %PCName. Simply wondrous. And you're willing to sell them to the museum? Well, then I can offer you 27500 gold as compensation."
FALSE,FALSE,Patch for Purists,_119397049117965194,Dark Elf,Female,Torasa Aram,,,"Worn by Tiber Septim; supposedly a gift to Talos Stormcrown from the Greybeards. Wondrous, %PCName. Simply wondrous. And you're willing to sell them to the museum? Well, then I can offer you 27500 gold as compensation."
FALSE,FALSE,Patch for Purists,_9744266671311225333,Wood Elf,Male,aengoth,,,Look for him in Vivec. You'll find him in the back room of Simine Fralinie's bookstore in the Foreign Quarter.
FALSE,FALSE,Patch for Purists,_33981028295941780,Khajiit,Female,habasi,,,Look for him in Vivec. You'll find him in the back room of Simine Fralinie's bookstore in the Foreign Quarter.
TRUE,FALSE,Patch for Purists,_1325214294139454222,Breton,Male,simine fralinie,,,You can find him through that door.
TRUE,FALSE,Patch for Purists,_116738688165924716,Breton,Male,simine fralinie,,,I've heard of him.
FALSE,FALSE,Patch for Purists,_8193242452988327024,High Elf,Female,big helende,Thieves Guild,0,"That's fair. It's a good staff, after all. Good work getting it, Toad. As a reward for the work you've done for me, take this ring. It can be a big help grabbing things when you don't want to be seen. You've done some good work for me, %PCName. If there's any money on your head, I'll have someone take care of it. Good work."
FALSE,FALSE,Patch for Purists,_8193242452988327024,High Elf,Female,big helende,Thieves Guild,1,"That's fair. It's a good staff, after all. Good work getting it, Wet Ear. As a reward for the work you've done for me, take this ring. It can be a big help grabbing things when you don't want to be seen. You've done some good work for me, %PCName. If there's any money on your head, I'll have someone take care of it. Good work."
FALSE,FALSE,Patch for Purists,_8193242452988327024,High Elf,Female,big helende,Thieves Guild,2,"That's fair. It's a good staff, after all. Good work getting it, Footpad. As a reward for the work you've done for me, take this ring. It can be a big help grabbing things when you don't want to be seen. You've done some good work for me, %PCName. If there's any money on your head, I'll have someone take care of it. Good work."
FALSE,FALSE,Patch for Purists,_8193242452988327024,High Elf,Female,big helende,Thieves Guild,3,"That's fair. It's a good staff, after all. Good work getting it, Blackcap. As a reward for the work you've done for me, take this ring. It can be a big help grabbing things when you don't want to be seen. You've done some good work for me, %PCName. If there's any money on your head, I'll have someone take care of it. Good work."
FALSE,FALSE,Patch for Purists,_8193242452988327024,High Elf,Female,big helende,Thieves Guild,4,"That's fair. It's a good staff, after all. Good work getting it, Operative. As a reward for the work you've done for me, take this ring. It can be a big help grabbing things when you don't want to be seen. You've done some good work for me, %PCName. If there's any money on your head, I'll have someone take care of it. Good work."
FALSE,FALSE,Patch for Purists,_8193242452988327024,High Elf,Female,big helende,Thieves Guild,5,"That's fair. It's a good staff, after all. Good work getting it, Bandit. As a reward for the work you've done for me, take this ring. It can be a big help grabbing things when you don't want to be seen. You've done some good work for me, %PCName. If there's any money on your head, I'll have someone take care of it. Good work."
FALSE,FALSE,Patch for Purists,_8193242452988327024,High Elf,Female,big helende,Thieves Guild,6,"That's fair. It's a good staff, after all. Good work getting it, Captain. As a reward for the work you've done for me, take this ring. It can be a big help grabbing things when you don't want to be seen. You've done some good work for me, %PCName. If there's any money on your head, I'll have someone take care of it. Good work."
FALSE,FALSE,Patch for Purists,_8193242452988327024,High Elf,Female,big helende,Thieves Guild,7,"That's fair. It's a good staff, after all. Good work getting it, Ringleader. As a reward for the work you've done for me, take this ring. It can be a big help grabbing things when you don't want to be seen. You've done some good work for me, %PCName. If there's any money on your head, I'll have someone take care of it. Good work."
FALSE,FALSE,Patch for Purists,_8193242452988327024,High Elf,Female,big helende,Thieves Guild,8,"That's fair. It's a good staff, after all. Good work getting it, Mastermind. As a reward for the work you've done for me, take this ring. It can be a big help grabbing things when you don't want to be seen. You've done some good work for me, %PCName. If there's any money on your head, I'll have someone take care of it. Good work."
FALSE,FALSE,Patch for Purists,_8193242452988327024,High Elf,Female,big helende,Thieves Guild,9,"That's fair. It's a good staff, after all. Good work getting it, Master Thief. As a reward for the work you've done for me, take this ring. It can be a big help grabbing things when you don't want to be seen. You've done some good work for me, %PCName. If there's any money on your head, I'll have someone take care of it. Good work."
FALSE,FALSE,Patch for Purists,_3235232037907915816,Orc,Male,bakh gro-sham,,,"Our king is a paranoid. I know, I know...it's treason to even think that sort of stuff, but it's true. He always thinks someone is out to get him. The man's had me checking into a different conspiracy every week for the last month. I keep telling him, 'You're king. You're gonna have enemies!'. Does he listen? Psssh. This time, though, there might be something to it. I've found some disturbing information."
FALSE,FALSE,Patch for Purists,_191342994444195886,Nord,Male,ulfgar the unending,,,"I came to Solstheim with four of my brothers-in-arms. We were on a quest, you see. We were getting close...we could feel it. But then, one of our fellowship -- a powerful sorceror named Grimkell -- betrayed the rest of us. He laid an ambush, and assailed us with powerful magicka. I managed to slay Grimkell, but not before my three other companions were turned to stone. You may have seen them, for they are the three standing stones of Brodir Grove, not far from here."
FALSE,FALSE,Patch for Purists,_3143321756286653938,Dark Elf,Male,aryon,,,"I see you've gathered the votes of all the surviving Telvanni councilors. That means you are now the Hortator of House Telvanni. And I have something for you. It's called the 'Robe of the Hortator'. It is an ancient artifact, and hasn't been used in centuries. But I think you'll be pleased. I wish you luck, Hortator. I may even pray for you."
FALSE,FALSE,Patch for Purists,_2247352503238118193,Dark Elf,Male,aryon,,,"I see you've gathered the votes of all the surviving Telvanni councilors. That means you are now the Hortator of House Telvanni. And I have something for you. It's called the 'Robe of the Hortator'. It is an ancient artifact, and hasn't been used in centuries. But I think you'll be pleased. I wish you luck, Hortator. I may even pray for you."
FALSE,FALSE,Patch for Purists,_2555103552142726969,Dark Elf,Male,aryon,,,"Yes, I understand. You are willing to take the responsibility, and I am willing to vote for you as Hortator. I think the other Telvanni councilors will also cooperate, though some might need a little persuading. Master Neloth is ill-tempered, Mistress Dratha doesn't like men, and Mistress Therana is losing her mind. Archmagister Gothren is another problem. He will not refuse you directly, but will delay indefinitely. I recommend that you kill Archmagister Gothren."
FALSE,FALSE,Patch for Purists,_20411115782606626116,Dark Elf,Male,aryon,,,"Yes, I understand. You are willing to take the responsibility, and I am willing to vote for you as Hortator. I think the other Telvanni councilors will also cooperate, though some might need a little persuading. Master Neloth is ill-tempered and Mistress Therana is losing her mind. You are not a male, so Mistress Dratha will like you. Archmagister Gothren is another problem. He will not refuse you directly, but will delay indefinitely. I recommend that you kill Archmagister Gothren."
FALSE,FALSE,Patch for Purists,_442362397403602,Nord,Male,geilir the mumbling,,,"Ah, not yet dear %PCClass. First you must bring me the Skull of Oddfrid White-Lip."
FALSE,FALSE,Patch for Purists,_3092817651153532605,Nord,Male,geilir the mumbling,,,"%PCClass, the skull of Oddfrid White-Lip is speaking to me, telling me your future. She says...she says the time for the hunt is near. You are both hunter and hunted. She sees you surrounded by ice. Beware betrayal! Oddfrid sees...she sees a giant. And.... Yes! The horned huntsman! That is all. I'm not sure what it all means, but Oddfrid has nothing more to say."
TRUE,FALSE,Patch for Purists,_198422033013887203,Nord,Male,geilir the mumbling,,,"%PCClass, the skull of Oddfrid White-Lip is speaking to me, telling me your future. She says...she says you have accomplished much here on Solstheim, and your future is unclear. But wait! She sees something else. Something very cloudy, something that could affect us all. When the dragon dies, the Empire dies. Where is the lost dragon's blood, the Empire's sire? And from the womb of the void, who shall stem the blood tide? I...I do not know what this means. It is very unclear...."
FALSE,FALSE,Patch for Purists,_30317141171093612725,Nord,Male,geilir the mumbling,,,"I'm sorry %PCCLass, but that is all I see. I've have told your future. What you do with that information is entirely up to you."
FALSE,FALSE,Patch for Purists,_2485623105585011377,Nord,Male,uncle sweetshare,,,"He he he he he! Mad? Mad, you call me? Oh no, %PCName...it is you who are mad! For how can anyone who doesn't recognize true happiness ever be considered sane? Oh why oh why can't you people just be happy? Well, let's get to it then! He he he, ha ha!"
FALSE,FALSE,Patch for Purists,_14101185552659010756,Nord,Male,uncle sweetshare,,,"Give you my helm? Stop sharing...stop sharing my sugar? He...heh...ho...hmmm.... Distressing...most distressing.... But you WILL let me live? I do so love to live, %PCName! All right, then. We have a deal! Here's my white helm, and you have my promise I will not spread any more cheer! I will keep my candy all to myself! That won't be so bad, will it? He he he he! Ha ha ha!"
FALSE,FALSE,Patch for Purists,_679111305298115369,Nord,Male,uncle sweetshare,,,"That's me, you see! Uncle Sweetshare! Just like in the children's rhyme! When I found that old song the lyrics moved me like nothing else in my life! I knew at that moment who I truly was, and what I was meant to do! So I had this workshop built! I make treats here, you see! Delicious treats with the special sugar! Moon sugar! He he, ha ha! Then I spread my cheer throughout the land! But it's all a secret! Shhhhhhhh...."
FALSE,FALSE,Patch for Purists,_156733146386169806,Nord,Male,uncle sweetshare,,,"Why that's me, %PCName! At least...it used to be me. I don't feel much like Uncle Sweetshare anymore, to tell you the truth! Not without my white helm! But that's just fine! Ha ha ha ha! Because I still have my scrumptious treats, with all the sugar I can eat! He he he he he!"
FALSE,FALSE,Patch for Purists,_189502546285199736,Nord,Female,hidar,,,"I'll get started on a mace for you. Come back tomorrow, and it'll be ready."
FALSE,FALSE,Patch for Purists,_2538828452173131963,Nord,Female,hidar,,,"I'll get started on a longsword for you. Come back tomorrow, and it'll be ready."
FALSE,FALSE,Patch for Purists,_1871215926228976053,Nord,Female,hidar,,,"I'll get started on a dagger for you. Come back tomorrow, and it'll be ready."
FALSE,FALSE,Patch for Purists,_429325366611031150,Nord,Female,hidar,,,"I'll get started on a war axe for you. Come back tomorrow, and it'll be ready."
FALSE,FALSE,Patch for Purists,_2830419322300177154,Nord,Male,brynjolfr,,,"Roaming the wilds of Solsteim are seldom seen, elusive species of wolf and bear. They're called snow wolves and snow bears, because of their white fur. It is said that the pelts of these animals have innate magical qualities that help guard against Solstheim's brutal frost and snow. Just think of the armor I could create with such materials! If you were to provide me with the pelts and enough gold, I would gladly make you a set of custom snow wolf armor or snow bear armor."
FALSE,FALSE,Patch for Purists,_2173313512850310823,Imperial,Male,Carnius Magius,,,"I've underestimated the resolve of several of our investors. Their iindomitable greed has kept them from backing out of our arrangement, despite all the terrible things that have befallen Raven Rock. In order to change their minds, something very unfortunate will have to happen. Perhaps if the native Nords on the island slaughter all of the colonists, they might think twice about their choice...."
FALSE,FALSE,Patch for Purists,_23295123702187725686,Redguard,Female,mirisa,,,"I am sorry, %PCName. There's nothing I can do for you now."
FALSE,FALSE,Patch for Purists,_4702166742190613989,Nord,Male,brynjolfr,,,"Your custom Snow Bear Helm isn't ready yet, %PCName. Come back later."
FALSE,FALSE,Patch for Purists,_1061673321506815226,Nord,Male,brynjolfr,,,"Your custom armor is ready! Here you go, %PCName, one expertly crafted pair of Snow Bear Boots. They came out even better than I expected. If you need anything else, I'm your man!"
FALSE,FALSE,Patch for Purists,_2778113067157023550,Nord,Male,brynjolfr,,,"Your custom Snow Bear Boots aren't ready yet, %PCName. Come back later."
FALSE,FALSE,Patch for Purists,_4726750309428401,Nord,Male,brynjolfr,,,"Your custom armor is ready! Here you go, %PCName, one expertly crafted set of Snow Bear Greaves. They came out even better than I expected. If you need anything else, I'm your man!"
FALSE,FALSE,Patch for Purists,_25161299432712413299,Nord,Male,brynjolfr,,,"Your custom Snow Bear Greaves aren't ready yet, %PCName. Come back later."
FALSE,FALSE,Patch for Purists,_580222591807530674,Nord,Male,brynjolfr,,,"Your custom piece of armor is ready! Here you go, %PCName, one expertly crafted Snow Bear Left Gauntlet. It came out even better than I expected. If you need anything else, I'm your man!"
FALSE,FALSE,Patch for Purists,_314101510021781698,Nord,Male,brynjolfr,,,"Your custom Snow Bear Left Gauntlet isn't ready yet, %PCName. Come back later."
FALSE,FALSE,Patch for Purists,_12550272162412112823,Nord,Male,brynjolfr,,,"Your custom piece of armor is ready! Here you go, %PCName, one expertly crafted Snow Bear Right Gauntlet. It came out even better than I expected. If you need anything else, I'm your man!"
FALSE,FALSE,Patch for Purists,_142942580614797957,Nord,Male,brynjolfr,,,"Your custom Snow Bear Right Gauntlet isn't ready yet, %PCName. Come back later."
FALSE,FALSE,Patch for Purists,_231182793717218890,Nord,Male,brynjolfr,,,"Your custom piece of armor is ready! Here you go, %PCName, one expertly crafted Snow Bear Left Pauldron. It came out even better than I expected. If you need anything else, I'm your man!"
FALSE,FALSE,Patch for Purists,_11510490968641,Nord,Male,brynjolfr,,,"Your custom Snow Bear Left Pauldron isn't ready yet, %PCName. Come back later."
FALSE,FALSE,Patch for Purists,_16295223324858857,Nord,Male,brynjolfr,,,"Your custom piece of armor is ready! Here you go, %PCName, one expertly crafted Snow Bear Right Pauldron. It came out even better than I expected. If you need anything else, I'm your man!"
FALSE,FALSE,Patch for Purists,_1965819549639124350,Nord,Male,brynjolfr,,,"Your custom Snow Bear Right Pauldron isn't ready yet, %PCName. Come back later."
FALSE,FALSE,Patch for Purists,_46530381351455,Nord,Male,brynjolfr,,,"Your custom piece of armor is ready! Here you go, %PCName, one expertly crafted Snow Bear Cuirass. It came out even better than I expected. If you need anything else, I'm your man!"
FALSE,FALSE,Patch for Purists,_15609137332936428952,Nord,Male,brynjolfr,,,"Your custom Snow Bear Cuirass isn't ready yet, %PCName. Come back later."
FALSE,FALSE,Patch for Purists,_2361616981187355434,Nord,Male,brynjolfr,,,"So be it, %PCName. Come talk to me again if you change your mind."
FALSE,FALSE,Patch for Purists,_31139237591274818592,Nord,Male,brynjolfr,,,"Aha! I knew you'd come through, %PCName! Give me the pelts and gold. Come back tomorrow, same time, and I'll have your custom Snow Bear Helm ready."
FALSE,FALSE,Patch for Purists,_1244467361973820396,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. It takes a lot of work and a lot of skill to craft such fine armor, and quality like that is going to cost you. Come back when you have enough gold."
FALSE,FALSE,Patch for Purists,_1865045251010517186,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. I can't make you a custom piece without the right materials. Come back when you have enough snow bear pelts."
FALSE,FALSE,Patch for Purists,_25152127992769625724,Nord,Male,brynjolfr,,,"Aha! I knew you'd come through, %PCName! Give me the pelts and gold. Come back tomorrow, same time, and I'll have your custom Snow Bear Boots ready."
FALSE,FALSE,Patch for Purists,_3229020368234991647,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. It takes a lot of work and a lot of skill to craft such fine armor, and quality like that is going to cost you. Come back when you have enough gold."
FALSE,FALSE,Patch for Purists,_445130631682530140,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. I can't make you a custom piece without the right materials. Come back when you have enough snow bear pelts."
FALSE,FALSE,Patch for Purists,_357414033258933642,Nord,Male,brynjolfr,,,"Aha! I knew you'd come through, %PCName! Give me the pelts and gold. Come back tomorrow, same time, and I'll have your custom Snow Bear Greaves ready."
FALSE,FALSE,Patch for Purists,_18518160811256326658,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. It takes a lot of work and a lot of skill to craft such fine armor, and quality like that is going to cost you. Come back when you have enough gold."
FALSE,FALSE,Patch for Purists,_289965706402918844,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. I can't make you a custom piece without the right materials. Come back when you have enough snow bear pelts."
FALSE,FALSE,Patch for Purists,_25476111361418570,Nord,Male,brynjolfr,,,"Aha! I knew you'd come through, %PCName! Give me the pelts and gold. Come back tomorrow, same time, and I'll have your custom Snow Bear Left Gauntlet ready."
FALSE,FALSE,Patch for Purists,_2276612442179118578,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. It takes a lot of work and a lot of skill to craft such fine armor, and quality like that is going to cost you. Come back when you have enough gold."
FALSE,FALSE,Patch for Purists,_4209194951616752,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. I can't make you a custom piece without the right materials. Come back when you have enough snow bear pelts."
FALSE,FALSE,Patch for Purists,_126182793912831100,Nord,Male,brynjolfr,,,"Aha! I knew you'd come through, %PCName! Give me the pelts and gold. Come back tomorrow, same time, and I'll have your custom Snow Bear Right Gauntlet ready."
FALSE,FALSE,Patch for Purists,_191921721272168313,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. It takes a lot of work and a lot of skill to craft such fine armor, and quality like that is going to cost you. Come back when you have enough gold."
FALSE,FALSE,Patch for Purists,_13290221043231629971,Argonian,Male,Ten-Tongues_Weerhat,,,Don't try that with me. I'm not stupid. Come back when you get the money.
FALSE,FALSE,Patch for Purists,_30112235123022130366,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. I can't make you a custom piece without the right materials. Come back when you have enough snow bear pelts."
FALSE,FALSE,Patch for Purists,_14272270351295727625,Nord,Male,brynjolfr,,,"Aha! I knew you'd come through, %PCName! Give me the pelts and gold. Come back tomorrow, same time, and I'll have your custom Snow Bear Left Pauldron ready."
FALSE,FALSE,Patch for Purists,_2142580871505925505,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. It takes a lot of work and a lot of skill to craft such fine armor, and quality like that is going to cost you. Come back when you have enough gold."
FALSE,FALSE,Patch for Purists,_211181873133822091,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. I can't make you a custom piece without the right materials. Come back when you have enough snow bear pelts."
FALSE,FALSE,Patch for Purists,_798019474303123313,Nord,Male,brynjolfr,,,"Aha! I knew you'd come through, %PCName! Give me the pelts and gold. Come back tomorrow, same time, and I'll have your custom Snow Bear Right Pauldron ready."
FALSE,FALSE,Patch for Purists,_990777888127983,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. It takes a lot of work and a lot of skill to craft such fine armor, and quality like that is going to cost you. Come back when you have enough gold."
FALSE,FALSE,Patch for Purists,_543337751376627615,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. I can't make you a custom piece without the right materials. Come back when you have enough snow bear pelts."
FALSE,FALSE,Patch for Purists,_1959926876901527781,Nord,Male,brynjolfr,,,"Aha! I knew you'd come through, %PCName! Give me the pelts and gold. Come back tomorrow, same time, and I'll have your custom Snow Bear Cuirass ready."
FALSE,FALSE,Patch for Purists,_286561794040049950,Nord,Male,brynjolfr,,,"You've got my list of armor requirements and prices, %PCName. It takes a lot of work and a lot of skill to craft such fine armor, and quality like that is going to cost you. Come back when you have enough gold."
TRUE,FALSE,Patch for Purists,_5901169562982028388,Wood Elf,Female,gildan,,,"I keep tabs on Redoran's conflicts with Hlaalu and Telvanni. It's fairly easy. The Redoran Council is public and above-board, and they openly fund and support strikes against the rogue Telvanni bases. The dispute over Caldera with Hlaalu is more subtle. Redoran feels it should have jurisdiction over the ebony mines, but Hlaalu and the Caldera Mining Company out-maneuvered them. Either one of those conflicts could flare into open war. Little we can do about it, but keep the Legion informed."
